Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Argentina,,,24450604877.6081,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,584711485367.2671,545866164478.053,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,77496740.7407407,87879333.3333333,109079962.962963,131431037.03703701,147841740.74074098,164369296.296296,182144111.11111102,208372851.851852,240923925.92592597,290440148.148148,337174851.851852,398637740.740741,438794777.77777797,459469074.07407403,481706333.333333,499281148.14814806,535172777.777778,589429592.592593,577280740.740741,633730629.62963,680617111.111111,727860592.592593,766198925.925926,825405518.518518,795976518.518518,809754481.481482,850218592.592592,913710370.3703699,1014979666.66667,1149025481.4814801,1302388925.92593,1359733555.5555599,1217719666.6666698,1147942222.22222,1141865444.4444401,1216045777.77778,1195885111.11111,1274330333.3333302,1355645888.88889,1449160185.18519,
Belize,28071888.562228803,29964370.7125857,31856922.8615428,33749405.0118998,36193826.1234775,40069930.0699301,44405594.40559439,47379310.3448276,44910179.6407186,47305389.221556894,53233532.934131704,59207317.07317071,66062500.0,78343558.28220859,103216374.269006,118066298.342541,96905829.5964126,117650000.0,136300000.0,151800000.0,194750000.0,192900000.0,179250000.0,189000000.0,210900000.0,209150000.0,227850000.0,276550000.0,314900000.0,363150000.0,413050000.0,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114222550.0,1217467600.0,1290573400.0,1368625150.0,1336957250.0,1397113450.0,1486712300.0,1573618750.0,1613705850.0,1706497950.0,1742545900.0,1765256400.0,
Bolivia,563110051.920733,612518906.826491,669722541.277818,721142957.311474,812543072.505384,908874537.0370369,994044553.8720539,1084059814.81481,908874537.0370369,964615698.6531991,1017171717.1717199,1095454545.45455,1257615644.9793198,1263018490.7546198,2100249875.06247,2404697651.1744103,2732083958.02099,3227436281.85907,3758220889.55522,4421343606.18135,4537487842.57749,5891606676.18271,5594118400.16731,5422656261.71049,6169481549.374821,5377277406.71638,3959379487.6064,4347956298.51327,4597615562.66594,4715978868.216129,4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.917,6715220507.05164,7396966657.470541,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.911291,9549077869.10651,11451869164.7112,13120159975.5451,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33806395513.7482,
Brazil,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456700.4516,58539008786.3684,79279057730.82901,105136007528.76,123709376567.89,152678020452.829,176171284311.76102,200800891870.16397,224969488835.18103,235024598983.26102,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.29898,268137224729.722,294084112392.66,330397381998.489,425595310000.0,461951782000.0,602860000000.0,400599250000.0,437798577639.752,558111997497.263,785643456467.255,850425828275.793,883199443413.729,863723395088.3241,599388879704.634,655421153320.579,559372502338.237,507962741819.919,558320116997.075,669316239316.239,891629970423.9241,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170.0,1803652649613.75,1796186586414.45,
Barbados,,,,,,,,,,,,,,,,,,,,,1012264035.9383401,1114104641.92324,1164059789.75045,1235775210.8196099,1347033586.8008199,1409740726.1551,1547790025.47984,1704440882.93392,1812891396.4731102,2006394477.47387,2012302519.5212398,2020744653.61842,1957168343.5437398,2063267995.73752,2151285060.4914103,2261996995.18515,2411846465.43502,2549260575.0703897,2874413287.26735,3012021852.2502,3121619807.97687,3116632412.98352,3169612598.3333397,3274856571.16604,3514370691.25563,3897467233.85757,4303275572.40197,4546115388.40716,4595264650.0,4601250000.0,4446800000.0,4358900000.0,4332150000.0,4371200000.0,4352700000.0,4421800000.0,4587550000.0,
Canada,41093453544.9096,40767969453.696,41978852041.4426,44657169109.22401,48882938810.2204,53909570342.16901,60358632035.1532,64768831262.1761,70759031841.7237,77887510241.7083,87896095224.4234,99271961477.5203,113082820992.019,131321859214.07901,160408697648.262,173834029787.65198,206575564401.62302,211612156934.65,218632867449.81198,243072102185.41898,273853826377.01,306214863624.99,313506525087.136,340547711781.889,355372558103.62103,364756499450.75104,377437927311.983,431316742081.448,507354351182.25397,565055743243.2429,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,652825364726.275,631813279406.808,676082654640.91,742293448252.643,736379777892.562,757950678646.53,892380986367.854,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1792883225804.38,1552807652015.37,1529760492201.35,
Chile,4110000000.0,4609727272.72727,5416272727.27273,5668187500.0,5982347826.08696,6026593750.0,7072641025.641029,7013196078.431371,7167086956.521741,8377093023.25581,9126309734.513279,10884114754.0984,11853817307.6923,16836261173.1844,16210404183.5358,7622217352.342159,10341925249.0421,13962893421.5413,15989933708.1491,21803696985.2349,29036709871.7949,34509878043.5897,25325893205.657,20355959237.2128,19622527479.6913,17702885393.5099,18891048818.7426,22255407684.6999,26040229793.0697,29885685142.9107,33113887817.9731,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4679,81577430181.4074,75173794497.0321,77860932151.8471,70979923960.3742,69736811435.1032,75643459839.6008,99210392857.6116,122964812046.07301,154788024805.808,173605968179.255,179638496278.57397,172389498444.62,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260990299051.17603,242517905161.727,247027912574.30103,
Colombia,4040948153.7302203,4552914000.0,4968603735.58222,4838841455.55556,5992169466.66667,5790247619.047621,5452762962.96296,5727195020.23203,5918455409.8099,6405427873.70755,7198360460.198871,7820380970.53674,8671358732.68486,10315760000.3394,12370029583.6419,13098633901.8673,15341403660.4698,19470960619.1297,23263511958.0509,27940411250.2732,33400735644.0481,36388366869.0309,38968039721.748,38729822781.5997,38253120737.9671,34894411351.983,34942489683.9712,36373307085.0887,39212550050.4223,39540080200.3938,40274204595.2296,41239551378.2482,49279585355.0948,55802538219.0264,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98203546156.3102,97933391976.08301,94684584162.77301,117074863821.85,146566264837.014,162590146096.414,207416494642.379,243982437870.84,233821670544.258,287018184637.529,335415156702.18604,369659700375.52,380191881860.372,378195716714.266,291519591532.951,282462548889.26,
Costa Rica,507513829.994855,490325181.614275,479180824.348506,511902136.80997306,542578367.242598,592981162.264151,647305630.188679,699456618.867925,773841494.3396231,853630203.773585,984830158.490566,1077152902.29104,1238251695.55388,1528916185.23199,1666544754.09836,1960863465.5776,2412555425.90432,3072427012.8354697,3523208809.8016295,4035519323.22054,4831447001.166861,2623807074.2948,2606621255.01581,3976453966.7398295,4593908718.761721,4796628461.38614,5477895474.91039,5841132961.60586,6063759370.629371,6866402028.10997,7403457319.2047205,7168999428.244709,8528593084.487491,9537297507.16915,10432619390.3609,11513472693.8707,11618286553.3677,12552071367.1539,13617405420.1174,14195623424.811,14949514585.1585,15913363335.0564,16504795453.2822,17195867540.353,18529767934.4743,19952156474.8454,22600431878.0024,26743874286.8514,30612932802.8991,30562361123.0307,37268635287.0856,42262697840.385,46473128285.5589,49745088111.6953,50656002895.8763,54840103850.265,57435507212.256,
